Id,SalePrice
1461,122931.57
1462,161001.17
1463,178868.84
1464,186549.89
1465,188490.86
1466,173959.31
1467,183842.8
1468,166336.95
1469,191935.17
1470,126303.586
1471,190439.56
1472,99562.35
1473,96123.67
1474,151281.64
1475,130212.59
1476,401561.06
1477,263383.8
1478,292042.88
1479,266858.7
1480,495283.44
1481,324997.75
1482,201392.95
1483,172762.12
1484,163736.67
1485,178985.25
1486,187494.53
1487,370580.94
1488,234955.16
1489,207610.39
1490,225837.3
1491,193319.78
1492,87486.54
1493,192298.56
1494,291265.84
1495,290217.38
1496,231974.89
1497,182736.98
1498,166573.03
1499,164161.9
1500,158312.52
1501,173392.05
1502,156538.7
1503,273874.25
1504,236175.42
1505,224582.73
1506,184279.44
1507,235260.84
1508,187023.27
1509,151868.1
1510,143793.94
1511,140895.75
1512,168837.47
1513,141559.75
1514,158864.69
1515,194971.62
1516,160919.72
1517,167343.75
1518,136044.05
1519,228169.11
1520,131599.16
1521,134108.81
1522,170840.6
1523,107343.664
1524,119138.83
1525,127439.56
1526,119591.63
1527,109988.234
1528,127844.0
1529,148878.1
1530,176040.56
1531,97853.96
1532,101375.88
1533,141047.67
1534,116629.9
1535,150439.92
1536,105529.68
1537,86178.89
1538,189081.92
1539,213341.5
1540,94014.73
1541,140217.86
1542,140371.95
1543,217462.47
1544,75297.85
1545,108620.984
1546,137403.62
1547,132027.86
1548,136195.86
1549,121841.875
1550,142382.53
1551,117438.18
1552,145211.34
1553,151318.61
1554,108613.25
1555,168838.67
1556,85001.81
1557,108787.49
1558,102810.94
1559,86923.18
1560,140351.27
1561,149563.75
1562,128872.914
1563,123061.17
1564,161393.03
1565,149605.73
1566,220994.6
1567,73258.34
1568,223224.44
1569,138030.62
1570,133208.66
1571,116070.8
1572,147633.62
1573,239949.81
1574,118614.3
1575,222256.67
1576,221711.84
1577,193753.72
1578,153717.75
1579,143191.66
1580,191865.17
1581,152414.86
1582,128988.14
1583,331517.44
1584,227020.72
1585,137082.77
1586,81790.01
1587,95038.96
1588,152812.75
1589,98359.77
1590,137143.14
1591,92148.71
1592,119362.484
1593,136666.05
1594,129417.59
1595,114617.414
1596,221760.89
1597,195253.03
1598,212851.58
1599,176857.53
1600,180721.9
1601,76109.41
1602,108877.61
1603,82266.625
1604,273210.22
1605,244108.16
1606,169159.44
1607,169394.19
1608,210559.5
1609,193987.31
1610,144203.86
1611,137330.61
1612,167458.97
1613,161563.95
1614,133801.92
1615,88893.42
1616,69518.36
1617,94339.41
1618,124199.71
1619,131825.03
1620,164040.23
1621,137045.84
1622,132868.97
1623,293543.34
1624,209902.77
1625,130303.98
1626,165883.98
1627,184222.27
1628,271358.25
1629,183472.25
1630,387525.44
1631,229279.6
1632,243350.55
1633,170686.84
1634,177735.11
1635,183054.38
1636,162616.25
1637,189044.45
1638,205107.66
1639,178933.25
1640,254442.28
1641,177859.88
1642,222557.9
1643,224456.55
1644,224792.44
1645,177173.31
1646,160742.0
1647,168011.73
1648,130844.85
1649,138330.73
1650,117937.195
1651,122678.555
1652,98472.914
1653,102356.914
1654,142909.14
1655,147555.67
1656,141501.1
1657,144112.38
1658,139460.89
1659,133220.98
1660,151221.73
1661,447800.88
1662,421202.9
1663,389560.84
1664,323162.16
1665,289162.28
1666,303379.34
1667,385956.75
1668,331032.62
1669,301548.28
1670,361546.0
1671,253485.73
1672,486894.66
1673,295447.7
1674,243194.75
1675,178422.08
1676,182199.33
1677,210930.14
1678,465020.56
1679,395136.06
1680,323147.47
1681,244785.9
1682,289148.44
1683,175731.6
1684,168340.69
1685,170705.55
1686,173739.89
